file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
cashier_32.png,color,NA,#BC8E71,0.65,#814E44,0.35,#9D7A54,CF,86.91
construction_worker_32.png,color,NA,#B6866B,0.59,#723C28,0.41,#9D7A54,CF,85.36
farmer_32.png,color,NA,#C28F7E,0.59,#744030,0.41,#9D7A54,CF,82.63
fast food_worker_32.png,color,NA,#DCAD9C,0.55,#79533F,0.45,#81654F,CE,82.13
inmate_32.png,color,1,#9B8979,0.53,#69584D,0.47,#81654F,CE,89.06
janitor_32.png,color,NA,#C49D89,0.52,#705540,0.48,#81654F,CE,86.11
judge_32.png,color,1,#D79E94,0.81,#A3645E,0.19,#E7C1B8,CI,87.17
lawyer_32.png,color,1,#785A48,0.50,#AB846A,0.50,#81654F,CE,91.0
nurse_32.png,color,NA,#A58375,0.56,#7A4A3C,0.44,#81654F,CE,87.26
pharmacist_32.png,color,1,#CE9483,0.64,#7E5046,0.36,#9D7A54,CF,82.89
police_officer_32.png,color,NA,#743C26,0.59,#C2613A,0.41,#6F503C,CD,86.79
politician_32.png,color,1,#CEB48D,0.55,#8D684D,0.45,#BEA07E,CG,88.11
software_engineer_32.png,color,1,#E9B7A3,0.62,#99614B,0.38,#E7C1B8,CI,85.48
teacher_32.png,color,NA,#84766B,0.53,#A19583,0.47,#9D7A54,CF,88.32
CEO_33.png,color,1,#795048,0.54,#BC897E,0.46,#81654F,CE,85.37
cashier_33.png,color,NA,#C39B7E,0.74,#805944,0.26,#BEA07E,CG,89.82
construction_worker_33.png,color,NA,#734338,0.50,#B88981,0.50,#81654F,CE,83.86
drug_dealer_33.png,color,NA,#D9AB8A,0.53,#805343,0.47,#9D7A54,CF,83.01
farmer_33.png,color,NA,#CD968D,0.58,#7E4E4A,0.42,#81654F,CE,80.93
fast food_worker_33.png,color,NA,#AD8F70,0.56,#72513D,0.44,#9D7A54,CF,88.31
inmate_33.png,color,NA,#675346,0.59,#AE947E,0.41,#81654F,CE,87.95
janitor_33.png,color,NA,#DEAD8C,0.65,#835C43,0.35,#BEA07E,CG,86.3
judge_33.png,color,NA,#AB9A8B,0.52,#B7A595,0.48,#BEA07E,CG,93.08
